,Nation,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2011,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
71,Bahrain,44.0,42.0,42.0,42.0,36.0,36.0,43.0,51.0,49.0,48.0,51.0,49.0,51.0,51.0,54.0,50.0,57.0,58.0,58.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
72,South Africa,43.0,44.0,44.0,44.0,43.0,43.0,45.0,44.0,44.0,42.0,43.0,45.0,41.0,47.0,49.0,51.0,46.0,45.0,46.0,44.0,48.0,48.0,50.0,50.0,52.0,49.5,56.8,56.2
73,Ghana,43.0,43.0,43.0,41.0,41.0,40.0,43.0,47.0,48.0,46.0,45.0,41.0,39.0,39.0,39.0,37.0,33.0,35.0,36.0,33.0,39.0,34.0,35.0,33.0,33.0,33.0,33.0,33.0
74,Senegal,43.0,43.0,45.0,45.0,45.0,45.0,45.0,44.0,43.0,41.0,36.0,29.0,29.0,30.0,34.0,36.0,33.0,32.0,30.0,32.0,31.0,29.0,35.0,34.0,33.0,33.0,33.0,33.0
75,Benin,43.0,42.0,41.0,41.0,40.0,39.0,36.0,37.0,39.0,36.0,36.0,28.0,30.0,29.0,31.0,27.0,25.0,29.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
76,Bulgaria,43.0,42.0,44.0,43.0,42.0,43.0,41.0,41.0,43.0,41.0,41.0,36.0,33.0,38.0,36.0,41.0,40.0,40.0,41.0,39.0,40.0,39.0,35.0,33.0,29.0,29.0,29.0,29.0
77,Hungary,42.0,43.0,44.0,44.0,46.0,45.0,48.0,51.0,54.0,54.0,55.0,47.0,46.0,51.0,51.0,53.0,52.0,50.0,48.0,48.0,49.0,53.0,52.0,52.0,50.0,51.8,48.6,41.2
78,Trinidad and Tobago,42.0,41.0,40.0,40.0,41.0,41.0,35.0,39.0,38.0,38.0,39.0,36.0,32.0,36.0,36.0,34.0,32.0,38.0,42.0,46.0,49.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
79,Burkina Faso,42.0,42.0,40.0,40.0,41.0,42.0,42.0,38.0,38.0,38.0,38.0,31.0,30.0,36.0,35.0,29.0,32.0,34.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
80,Solomon Islands,42.0,43.0,42.0,42.0,44.0,39.0,42.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,29.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
81,Kuwait,42.0,43.0,42.0,40.0,41.0,39.0,41.0,49.0,44.0,43.0,44.0,45.0,46.0,41.0,43.0,43.0,48.0,47.0,46.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
82,Timor-Leste,42.0,41.0,40.0,38.0,35.0,38.0,35.0,28.0,28.0,30.0,33.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
83,Vietnam,42.0,39.0,36.0,37.0,33.0,35.0,33.0,31.0,31.0,31.0,31.0,27.0,29.0,27.0,27.0,26.0,26.0,26.0,26.0,24.0,24.0,26.0,25.0,26.0,25.0,27.9,27.9,27.9
84,Kosovo,41.0,39.0,36.0,36.0,37.0,39.0,36.0,33.0,33.0,33.0,34.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
85,Guyana,40.0,39.0,41.0,40.0,37.0,38.0,34.0,29.0,30.0,27.0,28.0,27.0,25.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
86,Suriname,40.0,39.0,38.0,44.0,43.0,41.0,45.0,36.0,36.0,36.0,37.0,30.0,30.0,37.0,36.0,35.0,30.0,32.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
87,Maldives,40.0,40.0,43.0,29.0,31.0,33.0,36.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,28.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
88,North Macedonia,40.0,39.0,35.0,35.0,37.0,35.0,37.0,42.0,45.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
89,Tunisia,40.0,44.0,44.0,43.0,43.0,42.0,41.0,38.0,40.0,41.0,41.0,43.0,38.0,42.0,44.0,42.0,46.0,49.0,50.0,49.0,48.0,53.0,52.0,50.0,50.0,50.0,50.0,50.0
90,India,40.0,40.0,40.0,41.0,41.0,40.0,40.0,38.0,38.0,36.0,36.0,33.0,31.0,34.0,34.0,35.0,33.0,29.0,28.0,28.0,27.0,27.0,28.0,29.0,29.0,27.5,26.299999999999997,27.799999999999997
91,Moldova,39.0,36.0,34.0,32.0,33.0,31.0,30.0,33.0,35.0,35.0,36.0,29.0,29.0,33.0,29.0,28.0,32.0,29.0,23.0,24.0,21.0,31.0,26.0,26.0,26.0,26.0,26.0,26.0
